Année,Code INSEE région,Filière,Région,Part de la consommation nationale couverte (%),part_peryear_normalized,year_prodGWh,filiere_prodGWh
2019,52,Bioenergy,Pays de la Loire,0.1,0.000880282,526537,463.5008803
2019,52,Nuclear,Pays de la Loire,0,0,526537,0
2019,52,Non-renewablee,Pays de la Loire,0.7,0.006161972,526537,3244.506162
2019,52,Solar,Pays de la Loire,0.1,0.000880282,526537,463.5008803
2019,52,Hydro,Pays de la Loire,0,0,526537,0
2019,93,Hydro,Provence-Alpes-Côte d'Azur,1.8,0.01584507,526537,8343.015845
2019,93,Nuclear,Provence-Alpes-Côte d'Azur,0,0,526537,0
2019,93,Wind,Provence-Alpes-Côte d'Azur,0,0,526537,0
2019,93,Non-renewablee,Provence-Alpes-Côte d'Azur,1.6,0.014084507,526537,7416.014085
2019,93,Bioenergy,Provence-Alpes-Côte d'Azur,0.2,0.001760563,526537,927.0017606
2019,93,Solar,Provence-Alpes-Côte d'Azur,0.4,0.003521127,526537,1854.003521
2020,84,Hydro,Auvergne-Rhône-Alpes,6.4,0.057450628,490068,28154.71454
2020,84,Bioenergy,Auvergne-Rhône-Alpes,0.2,0.001795332,490068,879.8348294
2020,84,Solar,Auvergne-Rhône-Alpes,0.3,0.002692998,490068,1319.752244
2020,84,Wind,Auvergne-Rhône-Alpes,0.3,0.002692998,490068,1319.752244
2020,84,Nuclear,Auvergne-Rhône-Alpes,17.2,0.154398564,490068,75665.79533
2020,84,Non-renewablee,Auvergne-Rhône-Alpes,0.6,0.005385996,490068,2639.504488
2020,27,Non-renewablee,Bourgogne-Franche-Comté,0.2,0.001795332,490068,879.8348294
2020,27,Bioenergy,Bourgogne-Franche-Comté,0.1,0.000897666,490068,439.9174147
2020,27,Wind,Bourgogne-Franche-Comté,0.4,0.003590664,490068,1759.669659
2020,27,Solar,Bourgogne-Franche-Comté,0.1,0.000897666,490068,439.9174147
2020,27,Hydro,Bourgogne-Franche-Comté,0.2,0.001795332,490068,879.8348294
2020,27,Nuclear,Bourgogne-Franche-Comté,0,0,490068,0
2020,53,Bioenergy,Bretagne,0.1,0.000897666,490068,439.9174147
2020,53,Nuclear,Bretagne,0,0,490068,0
2020,53,Solar,Bretagne,0.1,0.000897666,490068,439.9174147
2020,53,Wind,Bretagne,0.5,0.00448833,490068,2199.587074
2020,53,Non-renewablee,Bretagne,0.2,0.001795332,490068,879.8348294
2020,53,Hydro,Bretagne,0.1,0.000897666,490068,439.9174147
2020,24,Hydro,Centre-Val de Loire,0,0,490068,0
2020,24,Non-renewablee,Centre-Val de Loire,0.1,0.000897666,490068,439.9174147
2020,24,Wind,Centre-Val de Loire,0.7,0.006283662,490068,3079.421903
2020,24,Bioenergy,Centre-Val de Loire,0.1,0.000897666,490068,439.9174147
2020,24,Nuclear,Centre-Val de Loire,14.7,0.131956912,490068,64667.85996
2020,24,Solar,Centre-Val de Loire,0.1,0.000897666,490068,439.9174147
2020,94,Solar,Corse,0.1,0.000897666,490068,439.9174147
2020,94,Bioenergy,Corse,0,0,490068,0
2020,94,Wind,Corse,0,0,490068,0
2020,94,Hydro,Corse,0.1,0.000897666,490068,439.9174147
2020,94,Non-renewablee,Corse,0.2,0.001795332,490068,879.8348294
2020,94,Nuclear,Corse,0,0,490068,0
2020,44,Bioenergy,Grand Est,0.2,0.001795332,490068,879.8348294
